24,13,42,70,26
24,13,26,70,42
26,13,24,59,70
28,72,65,53,43
28,72,65,53,47
28,25,53,56,47
63,43,58,23,53
63,43,58,23,67
63,43,58,23,67
63,43,58,23,67
63,43,58,23,67
63,43,58,23,53
28,8,47,17,66
28,17,47,66,12
28,8,54,47,17
28,8,47,17,10
28,8,47,17,66
28,54,8,47,17
28,8,10,17,47
28,8,17,10,47
28,17,47,66,12
28,8,10,17,47
28,17,47,66,12
28,54,25,8,47
28,17,47,66,12
28,8,10,17,47
28,54,8,47,17
28,54,25,8,47
28,8,17,10,47
28,54,8,47,25
28,8,54,47,17
28,17,10,8,47
28,8,54,47,17
28,54,8,47,25
28,54,8,47,17
28,8,54,47,17
28,8,17,47,10
28,54,25,47,8
30,22,49,71,26
22,30,11,49,66
22,11,66,30,49
66,17,47,11,22
66,47,17,11,22
66,17,47,11,22
66,47,11,29,22
30,22,49,71,26
17,66,47,11,22
66,47,17,11,22
66,47,11,22,67
17,66,47,11,22
17,66,47,11,22
22,11,66,30,49
66,47,11,29,22
4,15,57,53,67
