60,61,0,0,0,0,0,0,0,0,0,0
11,9,60,0,0,0,0,0,0,0,0,0
21,48,35,60,0,0,0,0,0,0,0,0
4,48,38,57,0,0,0,0,0,0,0,0
11,48,35,0,0,0,0,0,0,0,0,0
11,60,48,0,0,0,0,0,0,0,0,0
48,38,0,0,0,0,0,0,0,0,0,0
11,48,35,42,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0
60,11,0,0,0,0,0,0,0,0,0,0
11,48,21,0,0,0,0,0,0,0,0,0
60,11,61,41,21,48,0,0,0,0,0,0
60,11,48,61,57,29,0,0,0,0,0,0
60,35,11,0,0,0,0,0,0,0,0,0
48,35,60,11,0,0,0,0,0,0,0,0
